INSTNM,CITY,STABBR,ZIP,INSTURL,NPCURL,LATITUDE,LONGITUDE,ADM_RATE_ALL,ACTCMMID,SAT_AVG_ALL,UGDS,UG,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,UGDS_WHITENH,UGDS_BLACKNH,UGDS_API,UGDS_AIANOLD,UGDS_HISPOLD,UG_NRA,UG_UNKN,UG_WHITENH,UG_BLACKNH,UG_API,UG_AIANOLD,UG_HISPOLD,COSTT4_A,COSTT4_P,COST,TUITIONFEE_IN,TUITIONFEE_OUT,TUITIONFEE_PROG,DEBT_MDN,C100_4,UGDS_MEN,UGDS_WOMEN,C100_41
University of Chicago,Chicago,IL,60637,WWW.UCHICAGO.EDU,https://collegeadmissions.uchicago.edu/costs/calculate,41.78917,-87.601196,0.0876,34,1505,5729,4008,0.4491,0.0475,0.0861,0.1714,0.0019,0.0005,0.0354,0.1011,0.107,0.4291,0.0608,0.1494,0.0029,0.0925,0.0661,0,0.64,0.0429,0.1799,0.0027,0.0684,64988,0,64988,49380,49380,NULL,12955,0.8652,0.5273,0.4727,86.52
Columbia University in the City of New York,New York,NY,10027,www.columbia.edu,www.studentaffairs.columbia.edu/finaid/npc,40.808286,-73.961885,0.069493736,33,1470,8100,6623,0.3874,0.0726,0.1311,0.1774,0.0051,0.0014,0.0468,0.1391,0.0391,0.3957,0.0935,0.1508,0.0079,0.1112,0.1391,0.1288,0.4641,0.0732,0.1267,0.0009,0.0672,64144,0,64144,51008,51008,NULL,20762.5,0.8792,0.5243,0.4757,87.92
Harvey Mudd College,Claremont,CA,91711,https://www.hmc.edu,https://npc.collegeboard.org/student/app/hmc,34.106137,-117.710594,0.142468733,34,1500,802,717,0.4389,0.0162,0.0998,0.2082,0.005,0,0.0623,0.1247,0.0449,0.5786,0.0092,0.1982,0.0106,0.07,0.0349,0.0349,0.6722,0.0042,0.2106,0.0028,0.0404,63860,0,63860,48594,48594,NULL,25462.5,0.8465,0.5349,0.4651,84.65
Washington University in St Louis,Saint Louis,MO,63130-4899,www.wustl.edu,https://sfs.wustl.edu,38.648125,-90.311639,0.17130533,33,1478,6913,6695,0.5539,0.0535,0.0583,0.1807,0.001,0.0001,0.0405,0.0794,0.0325,0.5911,0.094,0.1367,0.0012,0.0259,0.049,0.0845,0.6644,0.0684,0.1078,0.0015,0.0243,63755,0,63755,46467,46467,NULL,19500,0.902,0.4866,0.5134,90.2
Occidental College,Los Angeles,CA,90041-3392,www.oxy.edu,www.oxy.edu/admission-aid/financial-aid/net-price-calculator,34.126224,-118.210783,0.420359084,29,1300,2023,1703,0.5111,0.0445,0.1498,0.1256,0.001,0.0025,0.0929,0.0514,0.0213,0.5998,0.0567,0.1603,0.0117,0.1327,0.0417,0.0117,0.5543,0.0617,0.1809,0.0094,0.1403,63363,0,63363,47522,47522,NULL,21500,0.8009,0.4459,0.5541,80.09
Dartmouth College,Hanover,NH,03755-3529,www.dartmouth.edu,admissions.dartmouth.edu/financial-aid/cost-attendance/net-price-calculators,43.70408,-72.289951,0.115043789,32,1444,4184,4057,0.4804,0.0679,0.0815,0.1405,0.0217,0.0012,0.05,0.082,0.0748,0.5367,0.0848,0.1474,0.0394,0.0707,0.0434,0.1267,0.595,0.055,0.1008,0.0232,0.056,63279,0,63279,48108,48108,NULL,10487.5,0.8776,0.5067,0.4933,87.76
Northwestern University,Evanston,IL,60208,www.northwestern.edu,ug-finaid.northwestern.edu/college_cost_calculator.html,42.058377,-87.673653,0.131139752,33,1461,8725,9013,0.5263,0.0579,0.1084,0.1693,0.0005,0,0.053,0.0738,0.0109,0.5602,0.0573,0.1891,0.0013,0.0681,0.0347,0.0758,0.6258,0.0673,0.1508,0.0034,0.0422,63028,0,63028,47251,47251,NULL,17500,0.8536,0.4955,0.5045,85.36
Georgetown University,Washington,DC,20057-0001,www.georgetown.edu,finaid.georgetown.edu/net-price-calc,38.908809,-77.073463,0.173493976,32,1414,7211,6418,0.5813,0.0618,0.0784,0.096,0.0007,0.0004,0.0413,0.1186,0.0215,0.6478,0.0657,0.0916,0.0003,0.0615,0.0919,0.0296,0.6775,0.0589,0.0883,0.0025,0.0513,62179,0,62179,46744,46744,NULL,15802.5,0.9102,0.4531,0.5469,91.02
University of Southern California,Los Angeles,CA,90089,www.usc.edu/,esdweb.esd.usc.edu/npc/default.aspx,34.021058,-118.283858,0.180238829,31,1380,18392,15705,0.3644,0.0436,0.1353,0.225,0.0013,0.0017,0.0508,0.1299,0.0479,0.4506,0.0553,0.2384,0.009,0.1307,0.0699,0.0232,0.4737,0.0617,0.226,0.008,0.1374,62092,0,62092,48280,48280,NULL,21062,0.757,0.4945,0.5055,75.7
Oberlin College,Oberlin,OH,44074,www.oberlin.edu,new.oberlin.edu/arts-and-sciences/admissions/finances/npc.dot,41.29474,-82.221786,0.327245053,30,1349,2961,2905,0.6977,0.052,0.0723,0.0419,0.001,0.0007,0.0567,0.0709,0.0068,0.7361,0.0658,0.0741,0.0055,0.0523,0.063,0.0124,0.747,0.0713,0.0651,0.0072,0.0341,62051,0,62051,48682,48682,NULL,24000,0.758,0.4455,0.5545,75.8
